symbol,sector,year,month,invested_amount,total_value,profit_loss,final_value
POLYCAB,ENGINEERING & CAPITAL GOODS,2026,1,199008.1,312731.6,-24705.8,288025.8
BHEL,ENGINEERING & CAPITAL GOODS,2026,1,19122.74,70149.99,-6271.41,63878.58
ABCAPITAL,FINANCIAL SERVICES,2026,1,22428.0,51573.6,-2578.68,48994.92
NAM-INDIA,FINANCIAL SERVICES,2026,1,91739.2,125811.4,-138.39,125673.01
SOUTHBANK,FINANCIAL SERVICES,2026,1,19490.61,39249.9,-757.52,38492.38
UNIONBANK,FINANCIAL SERVICES,2026,1,17318.16,34605.01,5958.98,40563.99
UTIAMC,FINANCIAL SERVICES,2026,1,127593.35,155871.0,-21650.48,134220.52
HCLTECH,SOFTWARE SERVICES,2026,1,97961.0,99085.35,4439.02,103524.37
SONACOMS,AUTO ANCILLARY,2026,1,181705.26,149093.41,4264.07,153357.48
CDSL,FINANCIAL SERVICES,2026,1,13773.55,15879.6,-1357.71,14521.89
PNB,FINANCIAL SERVICES,2026,1,19747.89,45113.99,541.37,45655.36
VINATIORGA,CHEMICALS,2026,1,177612.15,160625.35,-6023.45,154601.9
SUMICHEM,CHEMICALS,2026,1,149268.53,161081.98,-20988.98,140093.0
GOLDBEES,ETF,2026,1,74050.78,88968.91,16743.95,105712.86
JSL,METALS,2026,1,13428.35,41962.5,-574.89,41387.61
VBL,FMCG,2026,1,110507.2,127361.0,-4890.66,122470.34
